DRUG_CODE;Cattle4;Poultry5;SmallRum;FoodAnim13;SmallAnim;Others14;FoodAnimCL1;GoatRab;TLIS;
182;NA;NA;NA;NA;NA;NA;NA;NA;NA;
852;NA;NA;NA;NA;NA;NA;NA;NA;NA;
74052;NA;NA;NA;NA;NA;NA;NA;NA;NA;
74132;NA;NA;NA;NA;NA;NA;NA;NA;NA;
71582;NA;NA;NA;NA;NA;NA;NA;NA;NA;
71583;NA;NA;NA;NA;NA;NA;NA;NA;NA;
71584;NA;NA;NA;NA;NA;NA;NA;NA;NA;
88801;NA;NA;NA;NA;NA;NA;NA;NA;NA;
3078;NA;NA;NA;NA;NA;NA;NA;NA;NA;
16524;NA;NA;NA;NA;NA;NA;NA;NA;NA;
51023;NA;NA;NA;NA;NA;NA;NA;NA;NA;
951;NA;NA;NA;NA;NA;NA;NA;NA;NA;
96864;NA;NA;NA;NA;NA;NA;NA;NA;NA;
96865;NA;NA;NA;NA;NA;NA;NA;NA;NA;
97120;NA;NA;NA;NA;NA;NA;NA;NA;NA;
97121;NA;NA;NA;NA;NA;NA;NA;NA;NA;
96665;NA;NA;NA;NA;NA;NA;NA;NA;NA;
96666;NA;NA;NA;NA;NA;NA;NA;NA;NA;
96667;NA;NA;NA;NA;NA;NA;NA;NA;NA;
97536;NA;NA;NA;NA;NA;NA;NA;NA;NA;
97537;NA;NA;NA;NA;NA;NA;NA;NA;NA;
87061;NA;NA;NA;NA;NA;NA;NA;NA;NA;
5541;NA;NA;NA;NA;NA;NA;NA;NA;NA;
18624;NA;NA;NA;NA;NA;NA;NA;NA;NA;
18625;NA;NA;NA;NA;NA;NA;NA;NA;NA;
6251;NA;NA;NA;NA;NA;NA;NA;NA;NA;
97689;NA;NA;NA;NA;NA;NA;NA;NA;NA;
66810;NA;NA;NA;NA;NA;NA;NA;NA;NA;
97163;NA;NA;NA;NA;NA;NA;NA;NA;NA;
2655;NA;NA;NA;NA;NA;NA;NA;NA;NA;
630;NA;NA;NA;NA;NA;NA;NA;NA;NA;
11854;NA;NA;NA;NA;NA;NA;NA;NA;NA;
11853;NA;NA;NA;NA;NA;NA;NA;NA;NA;
11856;NA;NA;NA;NA;NA;NA;NA;NA;NA;
11855;NA;NA;NA;NA;NA;NA;NA;NA;NA;
81188;NA;NA;NA;NA;NA;NA;NA;NA;NA;
81189;NA;NA;NA;NA;NA;NA;NA;NA;NA;
60472;NA;NA;NA;NA;NA;NA;NA;NA;NA;
83797;NA;NA;NA;NA;NA;NA;NA;NA;NA;
83798;NA;NA;NA;NA;NA;NA;NA;NA;NA;
83799;NA;NA;NA;NA;NA;NA;NA;NA;NA;
83800;NA;NA;NA;NA;NA;NA;NA;NA;NA;
83801;NA;NA;NA;NA;NA;NA;NA;NA;NA;
83802;NA;NA;NA;NA;NA;NA;NA;NA;NA;
83803;NA;NA;NA;NA;NA;NA;NA;NA;NA;
88639;NA;NA;NA;NA;NA;NA;NA;NA;NA;
88640;NA;NA;NA;NA;NA;NA;NA;NA;NA;
88644;NA;NA;NA;NA;NA;NA;NA;NA;NA;
91901;NA;NA;NA;NA;NA;NA;NA;NA;NA;
91902;NA;NA;NA;NA;NA;NA;NA;NA;NA;
65492;NA;NA;NA;NA;NA;NA;NA;NA;NA;
65493;NA;NA;NA;NA;NA;NA;NA;NA;NA;
80506;NA;NA;NA;NA;NA;NA;NA;NA;NA;
80507;NA;NA;NA;NA;NA;NA;NA;NA;NA;
67107;NA;NA;NA;NA;NA;NA;NA;NA;NA;
67108;NA;NA;NA;NA;NA;NA;NA;NA;NA;
88643;NA;NA;NA;NA;NA;NA;NA;NA;NA;
98581;NA;NA;NA;NA;NA;NA;NA;NA;NA;
98582;NA;NA;NA;NA;NA;NA;NA;NA;NA;
98583;NA;NA;NA;NA;NA;NA;NA;NA;NA;
88645;NA;NA;NA;NA;NA;NA;NA;NA;NA;
88646;NA;NA;NA;NA;NA;NA;NA;NA;NA;
1844;NA;NA;NA;NA;NA;NA;NA;NA;NA;
1843;NA;NA;NA;NA;NA;NA;NA;NA;NA;
1845;NA;NA;NA;NA;NA;NA;NA;NA;NA;
2177;NA;NA;NA;NA;NA;NA;NA;NA;NA;
10888;NA;NA;NA;NA;NA;NA;NA;NA;NA;
7628;NA;NA;NA;NA;NA;NA;NA;NA;NA;
26905;NA;NA;NA;NA;NA;NA;NA;NA;NA;
16960;NA;NA;NA;NA;NA;NA;NA;NA;NA;
16963;NA;NA;NA;NA;NA;NA;NA;NA;NA;
19629;NA;NA;NA;NA;NA;NA;NA;NA;NA;
19546;NA;NA;NA;NA;NA;NA;NA;NA;NA;
17096;NA;NA;NA;NA;NA;NA;NA;NA;NA;
16964;NA;NA;NA;NA;NA;NA;NA;NA;NA;
37495;NA;NA;NA;NA;NA;NA;NA;NA;NA;
37491;NA;NA;NA;NA;NA;NA;NA;NA;NA;
37492;NA;NA;NA;NA;NA;NA;NA;NA;NA;
37493;NA;NA;NA;NA;NA;NA;NA;NA;NA;
37494;NA;NA;NA;NA;NA;NA;NA;NA;NA;
92610;NA;NA;NA;NA;NA;NA;NA;NA;NA;
92611;NA;NA;NA;NA;NA;NA;NA;NA;NA;
92612;NA;NA;NA;NA;NA;NA;NA;NA;NA;
92613;NA;NA;NA;NA;NA;NA;NA;NA;NA;
92614;NA;NA;NA;NA;NA;NA;NA;NA;NA;
95004;NA;NA;NA;NA;NA;NA;NA;NA;NA;
95005;NA;NA;NA;NA;NA;NA;NA;NA;NA;
95006;NA;NA;NA;NA;NA;NA;NA;NA;NA;
95007;NA;NA;NA;NA;NA;NA;NA;NA;NA;
