DRUG_CODE;Antibacterial;Antiprotozoal
182;OUI;NON
852;OUI;NON
74052;OUI;NON
74132;OUI;NON
71582;OUI;NON
71583;OUI;NON
71584;OUI;NON
88801;OUI;NON
3078;OUI;NON
16524;OUI;NON
51023;OUI;NON
951;OUI;NON
96864;OUI;NON
96865;OUI;NON
97120;OUI;NON
97121;OUI;NON
96665;OUI;NON
96666;OUI;NON
96667;OUI;NON
97536;OUI;NON
97537;OUI;NON
87061;OUI;NON
5541;OUI;NON
18624;OUI;NON
18625;OUI;NON
6251;OUI;NON
97689;OUI;NON
66810;OUI;NON
97163;OUI;NON
2655;OUI;NON
630;OUI;NON
11854;OUI;NON
11853;OUI;NON
11856;OUI;NON
11855;OUI;NON
81188;OUI;NON
81189;OUI;NON
60472;OUI;NON
83797;OUI;NON
83798;OUI;NON
83799;OUI;NON
83800;OUI;NON
83801;OUI;NON
83802;OUI;NON
83803;OUI;NON
88639;OUI;NON
88640;OUI;NON
88644;OUI;NON
91901;OUI;NON
91902;OUI;NON
65492;OUI;NON
65493;OUI;NON
80506;OUI;NON
80507;OUI;NON
67107;OUI;NON
67108;OUI;NON
88643;OUI;NON
98581;NON;NON
98582;NON;NON
98583;NON;NON
88645;OUI;NON
88646;OUI;NON
1844;OUI;NON
1843;OUI;NON
1845;OUI;NON
2177;OUI;NON
10888;OUI;NON
7628;OUI;NON
26905;OUI;NON
16960;OUI;NON
16963;OUI;NON
19629;OUI;NON
19546;OUI;NON
17096;OUI;NON
16964;OUI;NON
37495;OUI;NON
37491;OUI;NON
37492;OUI;NON
37493;OUI;NON
37494;OUI;NON
92610;OUI;NON
92611;OUI;NON
92612;OUI;NON
92613;OUI;NON
92614;OUI;NON
95004;OUI;NON
95005;OUI;NON
95006;OUI;NON
95007;OUI;NON
93032;OUI;NON
93033;OUI;NON
93034;OUI;NON
93035;OUI;NON
12261;OUI;NON
12262;OUI;NON
12267;OUI;NON
12268;OUI;NON
939;OUI;NON
5810;OUI;NON
895;OUI;NON
903;OUI;NON
894;OUI;NON
12914;OUI;NON
12913;OUI;NON
15206;OUI;NON
13376;OUI;NON
33421;OUI;NON
79738;OUI;NON
85715;OUI;NON
80057;OUI;NON
80348;OUI;NON
80335;OUI;NON
85717;OUI;NON
86278;OUI;NON
94456;OUI;NON
94586;OUI;NON
94587;OUI;NON
15827;OUI;NON
13961;OUI;NON
18710;OUI;NON
20294;OUI;NON
42503;OUI;NON
48432;OUI;NON
76903;OUI;NON
77712;OUI;NON
78976;OUI;NON
