AIwhocc;GroupeChimSC1
tobramycin;Aminoglycosides (systemic)
gentamicin;Aminoglycosides (systemic)
amikacin;Aminoglycosides (systemic)
neomycin;Aminoglycosides (systemic)
paromomycin;Aminoglycosides (systemic)
netilmicin;Aminoglycosides (systemic)
framycetin;Aminoglycosides (systemic)
apramycin;Aminoglycosides (systemic)
dihydrostreptomycin;Aminoglycosides (systemic)
hygromycin b;Aminoglycosides (systemic)
Streptomycin;Aminoglycosides (systemic)
Arbekacin;Aminoglycosides (systemic)
Bekanamycin;Aminoglycosides (systemic)
Dihydrostreptomycin;Aminoglycosides (systemic)
Fortimicin;Aminoglycosides (systemic)
Framycetin;Aminoglycosides (systemic)
Gentamicin;Aminoglycosides (systemic)
Hygromycin B;Aminoglycosides (systemic)
Isepamicin;Aminoglycosides (systemic)
Kanamycin;Aminoglycosides (systemic)
Plazomicin;Aminoglycosides (systemic)
Ribostamycin;Aminoglycosides (systemic)
Robostamycin;Aminoglycosides (systemic)
Sisomicin;Aminoglycosides (systemic)
spectinomycin;Aminocyclitol
novobiocin;Aminocoumarin
clavulanic acid;Beta-lactamase inhibitor
tazobactam;Beta-lactamase inhibitor
Avibactam;Beta-lactamase inhibitor
Durlobactam;Beta-lactamase inhibitor
Enmetazobactam;Beta-lactamase inhibitor
Nacubactam;Beta-lactamase inhibitor
Relebactam;Beta-lactamase inhibitor
Sulbactam;Beta-lactamase inhibitor
Taniborbactam;Beta-lactamase inhibitor
Vaborbactam;Beta-lactamase inhibitor
Zidebactam;Beta-lactamase inhibitor
chloramphenicol;Amphenicol
florfenicol;Amphenicol
Ridinilazole;Benzimidazoles
Afabicin;Benzofuran naphthyridines
doripenem;Carbapenems
ertapenem;Carbapenems
imipenem;Carbapenems
meropenem;Carbapenems
Benapenem;Carbapenems
Biapenem;Carbapenems
Faropenem;Carbapenems
Panipenem;Carbapenems
Tebipenem pivoxil;Carbapenems
cefazolin;Cephalosporins (1|2)
cefaclor;Cephalosporins (1|2)
cefadroxil;Cephalosporins (1|2)
cefprozil;Cephalosporins (1|2)
cefuroxime;Cephalosporins (1|2)
cefalexin;Cephalosporins (1|2)
cefotetan;Cephalosporins (1|2)
cefoxitin;Cephalosporins (1|2)
cefalotin;Cephalosporins (1|2)
cefamandole;Cephalosporins (1|2)
cefapirin;Cephalosporins (1|2)
cefapirin benzathine;Cephalosporins (1|2)
Cefacetrile;Cephalosporins (1|2)
